EmployeeID,EmployeeName,Role,Password,Outlet
C6001,Tan Guan Han,Manager,a2b1c0,C60
C6002,Adam bin Abu,Full-time,d3e4f5,C61
C6003,Jinu Saja,Part-time,g6h7i8,C62
C6004,Wong Benedict,Part-time,j9k0l1,C63
C6005,Dhaarane,Full-time,m2n3o4,C64
C6006,Adriana Nur Zahra binti Helmi,Part-time,p5q6r7,C65
C6007,Kang Rumi,Full-time,s8t9u0,C66
C6008,Li Xinyi,Full-time,v1w2x3,C67
C6009,Megan Mei,Part-time,y4z5a6,C68
C6010,Aminah binti Said,Full-time,b7c8d9,C69
C6011,Jarjit Singh,Part-time,e0f1g2,C60
C6012,Khairul Ariffin bin Muhammad,Part-time,h3i4j5,C60
C6013,Akira Kurusu,Manager,abc123,C61
C6014,Ayu Binti Abu,Manager,acb456,C62
C6015,Aida Binti Muhammad,Manager,def123,C63
C6016,Caelus Vincent Whittman,Manager,caelussocool,C64
C6017,Syubin Naufal,Manager,txt1,C65
C6018,Yunus Zhafran,Manager,txt2,C66
C6019,Bahrin Ghazali,Manager,txt3,C67
C6020,Muhammad Thaqif,Manager,txt4,C68
C6021,Kaisar Kamal,Manager,txt5,C69
